katakana	english
エリア	area
ガイド	guide
ガソリン	gasoline
リード	lead
リアル	real
ペース	pace
ナイフ	knife
サン	sun
ジャケット	jacket
ダム	dam
ミリリットル	millilitre
ジョージ	George
マッサージ	massage
バイト	part-time job
フィールド	field
クリア	clear
ショート	short
プリント	print
オーナー	owner
ハード	hard
ジュース	juice
フロント	front
エアー	air
テニス	tennis
パーク	park
メーク	make
リング	ring
チェーン	chain
ボーイ	boy
ピーク	peak
アン	Ann
エッチ	H (ecchi)
リットル	litre
レンジ	range
アルバイト	Arbeit (part time job)
ソファー	sofa
ファミリー	family
ヘクタール	hectare
ランチ	lunch
ギター	guitar
キャラクター	character
グローバル	global
コンビニ	convenience
ドレス	dress
フィリピン	Philippines
パーツ	parts
ライト	light
ロード	road
アンケート	questionnaire (enquete)
ブレーキ	brake
ボトル	bottle
マスター	master
ピース	piece
スタンド	stand
キャラ	character
ボリューム	volume
イスラエル	Israel
ロボット	robot
レッド	red
マネージャー	manager
フレーム	frame
キャリア	career
バージョン	version
イラスト	illustration
ソフトウェア	software
ベンチ	bench
オーバー	over
マーケット	market
リボン	ribbon
シャワー	shower
ヒント	hint
ポスト	post
カーテン	curtain
シティー	city
ビッグ	big
レシピ	recipe
フォーム	form
マップ	map
セミナー	seminar
プラスチック	plastics
ビニール	vinyl
マネージメント	management
ワシントン	Washington
エレベーター	elevator
ダウンロード	download
アクション	action
ヘッド	head
サークル	circle
リンク	link
スポット	spot
アレルギー	allergy
トルコ	Turkey
セキュリティー	security
スケジュール	schedule
スムーズ	smooth
ゲスト	guest
ハム	ham
コレクション	collection
エジプト	Egypt
ベビー	baby
インドネシア	Indonesia
エピソード	episode
ボート	boat
プラザ	plaza
マット	mat
オペラ	opera
ショット	shot
ハート	heart
ロング	long
ズボン	trousers (zubon)
カテゴリー	category
ミサイル	missile
モニター	monitor
レッスン	lesson
マニュアル	manual
ボード	board
ユー	you
カロリー	calorie
コーチ	coach
サイクル	cycle
イラン	Iran
タンク	tank
マルクス	Marx
パートナー	partner
ファースト	first
レート	rate
キャベツ	cabbage
フロー	flow
レモン	lemon
ブック	book
フォト	photo
キャッシュ	cash
パイプ	pipe
チョコレート	chocolate
キロカロリー	kilocalorie
マリア	Maria
チップ	chip
ペーパー	paper
ログ	log
チャレンジ	challenge
ヘア	hair
アプリケーション	application
マナー	manner
センス	sense
クリニック	clinic
アラブ	Arab
スタジオ	studio
ブッシュ	Bush
タッチ	touch
マイク	microphone
インチ	inch
スイス	Switzerland
カップル	couple
ポスター	poster
ロビー	lobby
ハンドル	handle
マルチ	multi
ラッキー	lucky
サロン	salon
ドーム	dome
ジャズ	jazz
マイクロ	micro
エクセル	Excel
メカニズム	mechanism
ベル	bell
アピール	appeal
ゲット	get
アイ	eye
キャンペーン	campaign
ストック	stock
シルバー	silver
アーチスト	artist
ランプ	lamp
デパート	department
ゴールド	gold
シングル	single
クレジット	credit
シフト	shift
リア	rear
グッズ	goods
リラックス	relax
リビング	living
リース	lease
カルシウム	calcium
グランド	grand
パフォーマンス	performance
ホット	hot
マッチ	match
テクニック	technic
インフレ	inflation
エコ	eco
チョコ	chocolate
ショッピング	shopping
プレート	plate
オート	auto
データーベース	database
ロープ	rope
コラム	column
リンパ	lymph
ストレート	straight
メジャー	major
ゴー	go
ラベル	label
タグ	tag
ミスター	mister
セブン	seven
ティー	tea
タレント	talent
キャンセル	cancel
ポール	Paul
メキシコ	Mexico
マクロ	macro
アット	at
ウエート	weight
ゾーン	zone
ストップ	stop
マスク	mask
レンタル	rental
ディズニー	Disney
ナイト	night
フルーツ	fruit
グレー	gray
レディー	lady
ダイアローグ	dialogue
カーブ	curve
ニット	knit
スペシャル	special
トム	Tom
バナナ	banana
アレンジ	arrange
テント	tent
ライバル	rival
コップ	cup
タウン	town
ブラシ	brush
ウィーン	Vienna
オブジェクト	object
バッテリー	battery
ターン	turn
パッケージ	package
アンテナ	antenna
フィルター	filter
レイアウト	layout
ボス	boss
フォント	font
ランク	rank
ギャラリー	gallery
オーダー	order
ラウンド	round
ライター	writer
シャッター	shutter
バン	van
ジェット	jet
ライオン	lion
セント	saint
ポーズ	pause
ヒトラー	Hitler
プリンター	printer
インパクト	impact
ドクター	doctor
デスク	desk
ダイヤモンド	diamond
ジーンズ	jeans
クラシック	classic
デザイナー	designer
アイコン	icon
マイケル	Michael
オア	or
フォーク	fork
グラウンド	ground
デザート	dessert
クレーム	claim
スケール	scale
デッキ	deck
リー	Lee
オーブン	oven
モーター	motor
ベルリン	Berlin
ネックレス	necklace
スクリーン	screen
カウンセリング	counseling
ポジション	position
ラスト	last
オリーブ	olive
グッド	good
ジャンプ	jump
プライド	pride
エアコン	air conditioner
マイル	mile
ジャンル	genre
タブ	tab
ゲート	gate
オーストリア	Austria
ブーツ	boots
ルイ	Louis
リゾート	resort
スリー	three
ステーション	station
サンプル	sample
ビジョン	vision
ポンプ	pomp
プライバシー	privacy
エラー	error
スイング	swing
デモ	demo
ビット	bit
ウエー	way
カトリック	katholiek
スウェーデン	Sweden
ジュニア	junior
クール	cool
シンガポール	Singapore
パンフレット	pamphlet
キング	king
モンゴル	Mongol
ヘリコプター	helicopter
エリート	elite
サウンド	sound
キット	kit
ディスプレー	display
カボチャ	Cambodia
キャッチ	catch
チューブ	tube
クライアント	client
アメリカン	American
トーク	talk
レジ	register
エリザベス	Elizabeth
スイート	sweet
モスクワ	Moskva
シンボル	symbol
ベランダ	veranda
ウイスキー	whisky
カメラマン	cameraman
ビーチ	beach
タワー	tower
ポルトガル	Portugal
ベンチャー	venture
ウィン	windows
シナリオ	scenario
ファンド	fund
ガイドライン	guideline
ブラウザ	browser
マス	mass
カテ	category
ジャーナリスト	journalist
プチ	petit
カタログ	catalog
モチーフ	motif
ウォーキング	walking
スパイ	spy
ピーター	Peter
ダイヤル	dial
フライ	fly
ハッピー	happy
フロア	floor
アイドル	idol
ハーブ	herb
カリフォルニア	California
ストリート	street
スライド	slide
ドラゴン	dragon
リストラ	restructuring
ジャン	Jean
センサー	sensor
サブ	sub
ネーム	name
インフルエンザ	influenza
テンポ	tempo
マジック	magic
ウラン	Uran
マラソン	marathon
コンビ	combination
ピン	pin
プライベート	private
ポート	port
ボーナス	bonus
スプーン	spoon
チャンピオン	champion
ブラウン	Brown
パスタ	pasta
コンパクト	compact
キーボード	keyboard
メダル	medal
ベテラン	veteran
パスポート	passport
ゼリー	jelly
ソロ	solo
フォー	for
コンセプト	concept
ビュー	view
ターゲット	target
ラ	la
ソ	Soviet
ユニーク	unique
クロース	cloth
ロケット	rocket
シール	seal
コール	call
ユーロ	Euro
マネー	money
ストア	store
スピーカー	speaker
ソビエト	Soviet
パイロット	pilot
ストレッチ	stretch
ユニット	unit
メロディー	melody
ロール	roll
キャサリン	Catherine
チキン	chicken
インターナショナル	international
カジュアル	casual
マーケティング	marketing
ジム	gym
サミット	summit
ダメージ	damage
アミノ	amino
パイ	pie
レクリエーション	recreation
オーディオ	audio
ライダー	rider
プレミアム	premium
ロゴ	logotype
ローズ	Rhodes
ゴールデン	golden
ハンカチ	handkerchief
デビッド	David
ネクタイ	necktie
ミュージック	music
モダン	modern
マザー	mother
ローカル	local
ラップ	wrap
エイト	eight
ガン	gun
ハンド	hand
シャンプー	shampoo
アイヌ	Ainu
ヘルパー	helper
スロー	slow
リチャード	Richard
ラテン	Latin
アラビア	Arabia
ウォーター	water
コーラ	cola
クッキー	cookie
ミネラル	mineral
ギャップ	gap
ホスト	host
ヘッジ	hedge
エース	ace
スプレー	spray
アイルランド	Ireland
ワイド	wide
ドライ	dry
ポーランド	Poland
マフラー	muffler
イデオロギー	Ideologie
ホイール	wheel
バリア	barrier
ワイヤ	wire
インテリア	interior
カレンダー	calendar
レーダー	radar
ターミナル	terminal
アクセント	accent
ウエスト	west
ナショナル	national
スタンダード	standard
リフォーム	reform
ガール	girl
インク	ink
バックアップ	backup
シュート	shoot
ペア	pair
ガーデン	garden
タイガー	tiger
ロマン	roman
スミス	Smith
ドリンク	drink
ハーフ	half
ヒール	heel
プレス	press
プロバイダー	provider
ワゴン	wagon
アクセサリー	accessory
フィリップ	Philippe
アナログ	analog
ガード	guard
スカイ	sky
ツリー	tree
モーツァルト	Mozart
リーダーシップ	leadership
ポット	pot
アイデンティティー	identity
サンダル	sandal
トータル	total
ムード	mood
パニック	panic
レイヤー	layer
セカンド	second（第２）
リリース	release
オーケストラ	orchestra
セクション	section
ベルギー	Belgie
ヨーグルト	yogurt
コマンド	command
ワクチン	Vakzin
スタジアム	stadium
テンション	tension
ドラム	drum
パレスチナ	Palestina
パール	pearl
ボウル	bowl
ミックス	mix
デスクトップ	desktop
ミー	me
クリーン	clean
パンチ	punch
ヒーロー	hero
ロバート	Robert
キャップ	cap（帽子）
スキル	skill
チェンジ	change
アルミ	aluminium
ルーター	router
エッセー	essay
コア	core
アップル	apple
メガバイト	megabyte
セール	sale
フェース	face
ライス	rice
ピラミッド	pyramid
プディング	pudding
アルゼンチン	Argentina
レコーダー	recorder
フランク	Frank
スクリプト	script
メーター	meter
エンド	end
グルメ	gourmet
レーン	rain
ディーラー	dealer
シミュレーション	simulation
バイオリン	violin
コム	com
コンテンツ	contents
ジャム	jam
フォロー	follow
キャスト	cast
バット	bat(棒)
ピーマン	piment
ロイヤル	royal
コーディネート	coordinate
ポテト	potato
クーラー	cooler
ドゥー	do
ビーム	beam
ピザ	pizza
フォーラム	forum
キムチ	chimchi
トーマス	Thomas
パウダー	powder
プロデューサー	producer
カンボジア	Cambodia
ストーン	stone
ア	a
クロス	cross
シベリア	Siberia
ダイヤ	diagram
ポップ	pop
ソング	song
トレンド	trend
フラワー	flower
プロフィール	profile
ナポレオン	Napoleon
コレステロール	cholesterol
インシュリン	insulin
パキスタン	Pakistan
コンタクト	contact
ナトリウム	natrium
クイズ	quiz
フレンド	friend
ベージュ	beige
フラッシュ	flash
インフラ	infrastructure
バイオ	bio
シャープ	sharp
セーター	sweater
ピッチ	pitch
アダム	Adam
シルク	silk
チャールズ	Charles
ソーシャル	social
ダイニング	dining
イングランド	England
チリ	Chile
クリップ	clip
セクシー	sexy
コイン	coin
ノーマル	normal
テクノロジー	technology
ドラッグ	drug
プレッシャー	pressure
マレーシア	Malaysia
クッション	cushion
デニム	denim
メンテナンス	maintenance
ワープロ	word processor
トレード	trade
クイーン	queen
ニック	Nick
プレ	pre
メード	made
レギュラー	regular
エンジェル	angel
シンポジウム	symposium
ロー	law
ボルト	volt
テラス	terrace
バトン	baton
ベーコン	bacon
メアリー	Mary
サンドイッチ	sandwich
バトル	battle
クリーニング	cleaning
リハビリ	rehabilitation
インディアン	Indian
スコア	score
シューズ	shoes
ビザ	visa
フェスティバル	festival
スパゲッティ	spaghetti
グラフィック	graphic
ハロー	hello
イズ	is
サム	Sam
ジャバ	Java
マヨネーズ	mayonnaise
ロッテ	Lotte
キック	kick
ココ	coco
ノック	knock
ホームズ	Holmes
パトロール	patrol
バラエティー	variety
コミック	comic
デフレ	deflation
ズーム	zoom
アナウンサー	announcer
ギガバイト	gigabyte
ミステリー	mystery
リクエスト	request
フォーマット	format
ミッション	mission
テン	ten
バケツ	bucket
ボストン	Boston
アカデミー	academy
ペルシャ	Persia
ウィリアム	William
ティッシュ	tissue
ニュアンス	nuance
ナチス	Nazis
ビーズ	beads
ラリー	rally
ニュージーランド	New Zealand
パレット	pallet
プラント	plant
アフガニスタン	Afghanistan
アマチュア	amateur
スターリン	Stalin
ポンド	pond
シカゴ	Chicago
カール	Karl
ビー	be
ブリッジ	bridge
ライセンス	license
コンサルタント	consultant
タイル	tile
バレー	volley
モビール	mobile
アニメーション	animation
アテネ	Athens
エプロン	apron
チャット	chat
ブラウス	blouse
ブレーク	break
メソッド	method
マガジン	magazine
ゲリラ	guerrilla
サングラス	sunglasses
トランク	trunk
フェリー	ferry
ヨーガ	yoga
ナチュラル	natural
バリエーション	variation
コンクール	concours
ベクトル	vector
ペニス	penis
ライフスタイル	lifestyle
モデム	modem
レール	rail
ハリウッド	Hollywood
ケイト	Kate
カウンセラー	counselor
セラー	seller
ベイ	bay
ルネサンス	Renaissance
ディーゼル	diesel
ハンガリー	Hungary
エクスプレス	express
ラッシュ	rush
レビュー	review
チャート	chart
フォン	fond
シルエット	silhouette
ロマンチック	romantic
インターフェース	interface
ダイレクト	direct
トライ	try
コンテスト	contest
スライス	slice
ネック	neck
アール	are
スマート	smart
フォード	Ford
ベン	Benn
キャプテン	captain
ウォーク	walk
ジェームズ	James
ドレッシング	dressing
ハイテク	high technology
パー	par
ユーモア	humor
レタス	lettuce
デバイス	device
ドキュメント	document
ファイバー	fiber
ループ	loop
ノン	non
アーチ	arch
ゲイ	gay
リレー	relay
サーキット	circuit
トーン	tone
エントリー	entry
パケット	packet
カルチャー	culture
カンパニー	company
ダート	dart
ヘルプ	help
スケッチ	sketch
マニア	mania
ロサンゼルス	Los Angeles
ワーカー	worker
ディレクター	director
デメリット	demerit
ドメイン	domain
クローズ	close
シェフ	chef
ノイズ	noise
ヒップ	hip
ステーキ	steak
ストーブ	stove
パトカー	patrol car
ウルトラ	ultra
レジャー	leisure
アンサー	answer
ポッド	pod
ストラップ	strap
ウォッチ	watch
キープ	keep
アカウント	account
ディナー	dinner
ドッグ	dog
フェラーリ	Ferrari
マックス	max
スポンジ	sponge
ファー	fur
ビートル	Beatles
メロン	melon
ミシン	sewing machine
レス	less
スポンサー	sponsor
ミラノ	Milano
ドック	dock
ミッキー	Mickey
レバー	liver
サポーター	supporter
カレッジ	college
セクター	sector
セルフ	self
グリップ	grip
ウエーブ	wave
テロリスト	terrorist
ロケ	location
ミーティング	meeting
コンテナ	container
バンコク	Bangkok
ルイス	Lewis
アクセル	accelerater
ドリーム	dream
ナビ	navigation
ウイーク	week
ミュージシャン	musician
ハンバーグ	hamburg
ヨット	yacht
スペック	spec
ムハンマド	Muhammad
アナ	announcer
ジャングル	jungle
ピストル	pistol
フレンチ	French
プラグ	plug
ランナー	runner
パレード	parade
ベートーベン	Beethoven
モラル	moral
モール	mall
アルミニウム	aluminium
スティック	stick
ソナタ	sonata
テースト	taste
キューバ	Cuba
スト	strike
ロス	loss
オートバイ	auto bicycle
セールス	sales
チャン	channel
アンチ	anti
イエロー	yellow
インフォメーション	information
カクテル	cocktail
コーン	corn
トリック	trick
スルー	through
アー	are
ドロップ	drop
アルカリ	alkali
ベール	veil
ホーク	hawk
リハビリテーション	rehabilitation
ジャーナリズム	journalism
オーラ	aura
カート	cart
スナック	snack
ソーセージ	sausage
リターン	return
アンダー	under
コイル	coil
ダーク	dark
パジャマ	pajamas
アインシュタイン	Einstein
マリン	marine
コンプレックス	complex
ドット	dot
パーソナル	personal
フラット	flat
ヘッダー	header
スロット	slot
バレエ	ballet
スコットランド	Scotland
サイエンス	science
ヒル	hill
フェア	fair(見本市)
ペリー	Perry
ホモ	homo
ミクロ	micro
ビルマ	Burma
キリシタン	Christian
カウント	count
ジェーン	Janes
エステ	aesthetic
プロレス	professional wrestling
ミラー	mirror
アトリエ	atelier
ソックス	socks
バレンタイン	Valentine
リトル	little
ベンツ	Benz
キャラメル	caramel
ミュージカル	musical
グローブ	glove
コロンビア	Columbia
オールド	old
ヒロイン	heroine
ボーカル	vocal
レア	rare
オゾン	ozone
アダルト	adult
ギヤ	gear
タスク	task
アウトルック	outlook
アリバイ	alibi
サマー	summer
カセット	cassette
サンデー	Sunday
スタンス	stance
ホース	hoos
ヤード	yard
ガム	gum
シニア	senior
デンマーク	Denmark
パッド	pad
エキス	extract
カーボン	carbon
ナショナリズム	nationalism
レザー	leather
シチュー	stew
キッド	kid
スチール	steel
ダイオキシン	dioxin
ヘルメット	helmet
アクティブ	active
スピーチ	speech
トーナメント	tournament
パブリック	public
リフレッシュ	refresh
マッカーサー	MacArthur
マクドナルド	MacDonald
ピンチ	pinch
プロトコル	protocol
ベーシック	basic
キュート	cute
スクエア	square
ペダル	pedal
レントゲン	roentgen
ノートン	Norton
スキャン	scan
ノーベル	Nobel
メイ	May
メタル	metal
ダイナミック	dynamic
フィンランド	Finland
ベネチア	Venezia
メガヘルツ	megahertz
クリントン	Clinton
スタンプ	stamp
バスケット	basket
ヤン	Jan
レター	letter
ハン	Khan
レフ	reflex
アセスメント	assessment
コスモス	cosmos
ムービー	movie
エンターテインメント	entertainment
バルブ	bulb
パラメーター	parameter
ブロードバンド	broadband
スケート	skate
パンプス	pumps
リサーチ	research
グレード	grade
シドニー	Sydney
スローガン	slogan
ニューロン	neuron
パルス	pulse
モニタリング	monitoring
ラグビー	rugby
リッチ	rich
ギャンブル	gamble
ツイン	twin
フィット	fit
スニーカー	sneaker
スパ	spa
オープニング	opening
カリキュラム	curriculum
ピッチャー	pitcher
コマーシャル	commercial
ペルー	Peru
マーチン	Martin
シー	sea
ディープ	deep
パンク	punk
ファイア	fire
キャット	cat
モーガン	Morgan
エトセトラ	et cetra
ピー	pea
エクスプローラー	explorer
ナース	nurse
アマゾン	Amazon
サーカス	circus
リアリティー	reality
シャンパン	champagne
フィードバック	feedback
ポートフォリオ	portfolio
キャンバス	canvas
パンダ	panda
ユニホーム	uniform
ランニング	running
ジェル	gel
ステンレス	stainless
ペイント	paint
カントリー	country
ビジネスマン	businessman
プレビュー	preview
ポジティブ	positive
イヤー	year
アーサー	Arthur
スキャンダル	scandal
スプリング	spring
ネール	nail
ニーチェ	Nietzsche
シンク	think
ヘルス	health
ジェンダー	gender
ネガティブ	negative
ファンタジー	fantasy
モンスター	monster
ヒーター	heater
フレーズ	phrase
サプリメント	supplement
ロッカー	locker
イブ	Eve
ウッド	wood
スコット	Scott
パセリ	parsley
フィギュア	figure
ポーチ	porch
リフト	lift
ホームレス	homeless
マスカラ	mascara
ノルウェー	Norway
フライト	flight
セッティング	setting
ピエール	Pierre
プリンス	prince
ウイング	wing
クーデター	coup d'Etat
ヒンドゥー	Hindu
ブロッコリー	broccoli
ウエア	wear
スピン	spin
ハット	hat
アシスタント	assistant
エージェント	agent
タイムリー	timely
トピック	topic
カスタム	custom
ファイブ	five
ヤング	young
アラン	Alain
インスタント	instant
トレー	tray
ハンター	hunter
レンタカー	rent-a-car
カーペット	carpet
ゴロ	grounder
マイナー	minor
アイロン	iron
ガレージ	garage
エージ	age
ステロイド	steroid
ヤンキー	Yankee
ライブラリー	library
キャンパス	campus
タイマー	timer
アルファベット	alphabet
ステー	stay
ノブ	knob
モン	Mont
スカーフ	scarf
トースト	toast
ヘンリー	Henry
メンタル	mental
キャピタル	capital
コーディネーター	coordinator
ケネディ	Kennedy
トランス	trans
ドリル	drill
バニラ	vanilla
テール	tail
ヘリ	helicopter
ボイス	voice
ユース	youth
ダイビング	diving
ルーマニア	Rumania
ワックス	wax
エコー	echo
コーラス	chorus
チューン	tune
バレーボール	volleyball
フラン	franc
エドワード	Edward
ベリー	berry
カーソル	cursor
ピックアップ	pick-up
フロイト	Freud
ウィズ	with
セレクト	select
フロム	from
ミシェール	Michelle
スパイス	spice
ビジュアル	visual
モジュール	module
アース	earth
コットン	cotton
ホステス	hostess
リップ	lip
アトピー	atopy
イレブン	eleven
カント	Kant
ブルジョア	bourgeois
ボン	Bonn
メガ	mega
マドリード	Madrid
マント	manteau
シックス	six
セッション	session
バグダッド	Bagdad
カラフル	colorful
コン	concert
ハイキング	hiking
ミセス	Mrs
モーニング	morning
コロッケ	croquette
サルトル	Sartre
ビクトリア	Victoria
ブース	booth
レ	les
アスファルト	asphalt
クオリティー	quality
シャフト	shaft
ペースト	paste
ワークショップ	workshop
カッター	cutter
シアター	theater
テレビジョン	television
ペンキ	pek
カプセル	Kapsel
タブー	taboo
アタック	attack
スペクトル	spectre
ランダム	random
リ	ris
ウォー	war
マーカー	marker
ラウンジ	lounge
アンティーク	antique
ダッシュ	dash
テレホン	telephone
ハードウェア	hardware
フロッピー	floppy
フィレンツェ	Firenze
ポインター	pointer
イタリアン	Italian
ココア	cocoa
シェークスピア	Shakespeare
ルーツ	roots
ウィザード	wizard
パーマ	permanent wave
リューマチ	rheumatism
アダプター	adapter
ゲノム	Genom
シック	chic
ボクシング	boxing
クリスタル	crystal
マダム	madam
ミュージアム	museum
ルーク	rook
アンプ	amplifier
クラッチ	clutch
ケリー	Kelly
ジョーンズ	Jones
ハンセン	Hansen
マリ	Mali
ジュネーブ	Geneve
ターボ	turbo
ハーバード	Harvard
マギー	Maggi
ルソー	Rousseau
レコーディング	recording
コントラスト	contrast
ファイナル	final
ブル	bull
プロダクション	production
リン	Lynn
フセイン	Hussein
プレゼンテーション	presentation
アーム	arm
ウエディング	wedding
パズル	puzzle
レーガン	Reagan
シグナル	signal
チョイス	choice
ディレクトリー	directory
トルク	torque
ポピュラー	popular
メッセンジャー	messenger
ウルグアイ	Uruguay
コンディション	condition
シリコン	silicon
フットボール	football
フレッシュ	fresh
ハンデ	handicap
フック	hook
ユニバーサル	universal
アナウンス	announce
アフター	after
カルテ	Karte
ショパン	Chopin
エンジニア	engineer
ブレンド	blend
ステッチ	stitch
ボンド	bond
イノベーション	innovation
ニュートン	Newton
チューリップ	tulip
プログラミング	programming
ポリス	police
マラリア	malaria
ピル	pill
プロテスタント	Protestant
レーニン	Lenin
シェル	shell
ピアニスト	pianist
フェンス	fence
ワット	watt
スキン	skin
スタイリスト	stylist
ツーリング	touring
クリスチャン	Christian
コンセント	consent
シロップ	siroop
ノット	not
ハイウエー	highway
ハンバーガー	hamburger
ナイン	nine
パウロ	Paulos
ポロ	polo
ダニエル	Daniel
ウィリアムズ	Williams
オルガン	orgao
トレーナー	trainer
キャンデー	candy
チェコ	Czech
プロデュース	produce
ガーゼ	Gaze
サンド	sandwich
シャドー	shadow
スカウト	scout
バスルーム	bathroom
プラットホーム	platform
メッシュ	mesh
ユナイテッド	united
ルチア	Lucia
アルプス	Alps
インセンティブ	incentive
コンドーム	condom
ダウ	Dow
シナプス	synapse
ジョンソン	Johnson
チューナー	tuner
インデックス	index
カリスマ	charisma
ストローク	stroke
セメント	cement
パット	putt
フォーン	phone
ワイルド	wild
チェリー	cherry
ビート	beat
ラフ	rough
セリーナ	Serena
ライフル	rifle
ダンサー	dancer
プラトン	Platon
マインド	mind
ラインアップ	lineup
イニシアチブ	initiative
キャンドル	candle
クローン	clone
ドキュメンタリー	documentary
バスター	buster
ポリ	poly
