Katakana,Transliteration,Additional
ファンファーレ,fanfare,"fanfare, fanfares, flourish, flourishes, trumpet call, trumpet calls, ceremonial music, herald, heralds"
ファンタジック,fantastic,"fantastic, fantastical, fantasy, fantasic"
ファッションヘルス,fashion health,"massage parlor, massage parlors, erotic massage parlor, erotic massage parlors, adult massage parlor, adult massage parlors, massage salon, massage salons, adult entertainment establishment, adult entertainment establishments, massage service, massage services"
フェッチ,fetch,"fetch, fetches, fetched, fetching, retrieve, retrieves, get, gets"
〜フェチ,fetish,"fetish, fetishes, fetishism, kink, kinks, obsession, obsessions, fixation, fixations"
フォアボール,four ball,"walk, base on balls, walks, four balls, BB"
フライ,fry,"fry, fries, fried, frying, deep fry, deep fries, deep fried, deep frying, fly, flies, flying, flew"
フライドポテト,fried potato,"french fries, fries, chips, fried potatoes, potato fries, french fried potatoes"
フリーダイアル or フリーダイヤル,free dial,"toll-free number, toll-free call, free phone number, toll-free line, freephone, toll-free numbers, free phone numbers, toll-free calls, toll-free lines, freephones"
フリーサイズ,free size,"one size fits all, free size, universal size, adjustable size, one-size-fits-all, OS, OSFA, free-size, freesize, one size, universal, adjustable"
フロント,front,"front, reception, front desk, lobby, reception desk, front office, hotel front desk, check-in desk"
フロントガラス,front glass,"windshield, windscreen, front windshield, front windscreen, windshields, windscreens, front windshields, front windscreens"
ガードマン,guardman,"security guard, security guards, guard, guards, watchman, watchmen, security officer, security officers"
ガラス,glass,"glass, glasses, glassware, window glass, drinking glass, drinking glasses, tumbler, tumblers, crystal, pane, panes"
ガス or 瓦斯,gas,"gas, gases, natural gas, propane, butane, fuel gas, cooking gas"
ガソリンスタンド,gasoline stand,"gas station, petrol station, filling station, service station, gas stations, petrol stations, filling stations, service stations"
ガッツポーズ,guts pose,"victory pose, fist pump, triumphant gesture, celebration pose, victory gesture, fist pumps, victory poses, celebration poses, victory gestures, triumphant gestures"
ガーゼ,gauze,"gauze, gauzes, medical gauze, bandage gauze, sterile gauze, gauze pad, gauze pads, surgical gauze, cotton gauze, mesh gauze, gauze bandage, gauze bandages"
ゲームセンター or ゲーセン,game center,"arcade, video arcade, game arcade, amusement arcade, gaming center, arcades, video arcades, game arcades, amusement arcades, gaming centers"
ゲレンデ,,"ski slope, ski slopes, piste, pistes, ski run, ski runs, skiing area, skiing areas, ski resort, ski resorts"
ギブ(アップ),give up,"give up, gives up, giving up, gave up, surrender, surrenders, surrendering, surrendered, quit, quits, quitting, capitulate"
ギプス or ギブス,,"cast, plaster cast, medical cast, orthopedic cast, casts, plaster casts, medical casts, orthopedic casts"
ゴム,gum,"rubber, gum, eraser, rubbers, erasers, elastic, latex"
グラス,glass,"glass, glasses, drinking glass, drinking glasses, tumbler, tumblers, cup, cups"
グロ,guro,"grotesque, gore, gory, graphic, disturbing, gruesome"
ギャラリー,gallery,"gallery, galleries, art gallery, art galleries, exhibition space, exhibition spaces, showroom, showrooms"
ハイカラ,,"high collar, fashionable, stylish, modern, westernized, sophisticated, chic, trendy, up-to-date, contemporary, refined, elegant"
ハイキングコース,hiking course,"hiking trail, hiking path, hiking route, trail, walking trail, nature trail, hiking trails, hiking paths, hiking routes, trails, walking trails, nature trails"
ハイネック,high neck,"high neck, high-neck, turtleneck, mock neck, high neckline, high necks, high-necks, turtlenecks, mock necks, high necklines"
ハッカー,hacker,"hacker, hackers, computer hacker, computer hackers, cyberhacker, cyberhackers"
ハモる,,"harmonize, harmonise, sing in harmony, blend voices, create harmony, harmonizing, harmonising"
ハンバーグ,hamburg,"hamburger steak, hamburg steak, hamburger steaks, hamburg steaks, hamburger patty, hamburger patties, meat patty, meat patties"
ハンドル,handle,"handle, handles, steering wheel, handlebars, handlebar, knob, knobs, grip, grips"
ハンドルキーパー,handle keeper,"designated driver, designated drivers, sober driver, sober drivers, non-drinking driver, DD"
ハンドルネーム,handle name,"username, screen name, nickname, online name, user handle, handle, usernames, screen names, nicknames, online names, user handles, handles"
ハンカチ,handkerchief,"handkerchief, handkerchiefs, hankie, hankies, pocket square, pocket squares"
ハンスト,,"hunger strike, hunger strikes, fast, fasting, protest fast, protest fasts"
ハウス,house,"house, houses, home, homes, greenhouse, greenhouses, housing"
ヘアピンカーブ,hairpin curve,"hairpin curve, hairpin curves, hairpin turn, hairpin turns, hairpin bend, hairpin bends, switchback, switchbacks, sharp turn, sharp turns, U-turn, U-turns"
ヘルスメーター,health meter,"scale, bathroom scale, weighing scale, body scale, weight scale, scales, bathroom scales, weighing scales, body scales, weight scales"
ヒステリー,hysteria,"hysteria, hysterics, hysteric, hysterical, panic, frenzy, emotional outburst, fit, tantrum"
ホルモン,hormone,"hormone, hormones, hormonal"
ホース,hose,"hose, hoses, garden hose, garden hoses, water hose, water hoses, fire hose, fire hoses"
ホッチキス,,"stapler, staplers, stapling machine, stapling machines"
ホットケーキ,hot cake,"pancake, pancakes, hot cakes, hotcake, hotcakes, flapjack, flapjacks, griddle cake, griddle cakes"
ホーム,home,"home, homes, platform, platforms, homepage, homepages, home page, home pages"
ホワイトデー,White Day,"White Day, white day, White Days, white days"
イエス,yes,"yes, Jesus, Yeah, yep, yup, affirmative, indeed, certainly, absolutely"
イギリス,,"England, Britain, Great Britain, United Kingdom, UK, British Isles, English, British"
イクラ,ikura,"salmon roe, salmon eggs, red caviar, ikura, fish roe, fish eggs"
イメージ,image,"images, imagery, mental image, mental images, impression, impressions, concept, concepts, idea, ideas, visualization, visualizations"
インフレ,inflation,"inflation, price inflation, economic inflation, monetary inflation, inflating, inflated"
イン・キー,in-key,"in key, in-key, on key, on-key, in tune, on pitch, pitch perfect"
イラスト,illustration,"illustrations, drawing, drawings, artwork, art, graphic, graphics, picture, pictures, image, images, illust"
イヤー・オブ・ザ・コーチ,year of the coach,"year of the coach, coach of the year, coaching year, year of coaching"
ジャンパー,jumper,"jumper, jumpers, jacket, jackets, windbreaker, windbreakers, blouson, blousons"
ジェンダーフリー,gender-free,"gender-free, gender free, genderfree, gender neutral, gender equality, gender-neutral, non-gendered, ungendered, gender-inclusive, gender inclusive, gender liberation, beyond gender"
ジェットコースター,jet coaster,"roller coaster, rollercoaster, roller coasters, rollercoasters, thrill ride, thrill rides, coaster, coasters"
ジンギスカン,,"Genghis Khan, grilled lamb, grilled mutton, Japanese grilled lamb dish, lamb barbecue, mutton barbecue, Mongolian barbecue, jingisukan"
ジーパン,,"jeans, denim jeans, blue jeans, denims, denim pants, jean pants, pants, trousers"
ジュース,juice,"juice, juices, fruit juice, fruit juices, beverage, beverages, drink, drinks"
カメラマン,cameraman,"cameraman, cameramen, camera operator, camera operators, photographer, photographers, cinematographer, cinematographers"
カモン or カモーン,come on,"come on, c'mon, cmon, come here, let's go, hurry up, move it"
カン or 缶,can,"can, cans, tin, tins, tin can, tin cans, metal can, metal cans, aluminum can, aluminum cans"
カンニング,cunning,"cheating, cheats, cheat, academic dishonesty, exam fraud, test fraud, copying, plagiarism, academic misconduct"
カッパ ,kappa,"kappa, water imp, water sprite, water demon, river spirit, mythical creature, Japanese folklore creature, kappas, water imps, water sprites, water demons, river spirits"
カラン,,"faucet, tap, spigot, faucets, taps, spigots, water tap, water faucet"
カラオケ,karaoke,"karaoke, karaoke machine, karaoke bar, karaoke booth, karaoke system, karaoke night, karaoke session"
カリウム or カリ,,"potassium, K, kalium"
カルキ,,"chlorine, calcium hypochlorite, bleaching powder, lime chloride, chlorinated lime"
カルピス,Calpis,"Calpis, Calpico, Japanese milk drink, lactic acid drink, cultured milk beverage, fermented milk drink, white soda, milky drink"
カルタ,,"playing cards, card game, cards, Japanese playing cards, karuta, traditional card game, card games, playing card, Japanese cards"
カルテ,,"medical chart, medical record, patient chart, patient record, medical file, patient file, medical charts, medical records, patient charts, patient records, medical files, patient files"
カシューナッツ,cashew nuts,"cashew nut, cashews, cashew, cashew nuts"
カステラ,,"castella, sponge cake, Japanese sponge cake, honey cake, castella cake, sponge cakes, honey cakes, castella cakes"
キーホルダー,key holder,"keychain, key ring, key fob, keychains, key rings, key fobs, key holders"
キリスト,Christ,"Christ, Jesus Christ, Jesus, the Christ, Messiah, Savior, Saviour, Lord, the Lord, the Savior, the Saviour, the Messiah"
キッチンペーパー,kitchen paper,"paper towel, paper towels, kitchen towel, kitchen towels, cooking paper, absorbent paper, disposable towel, disposable towels"
コーヒー,coffee,"coffee, coffees, java, joe, brew, espresso, cappuccino, latte"
コインランドリー,coin laundry,"laundromat, launderette, coin-operated laundry, self-service laundry, washeria, laundromats, launderettes, coin laundries, self-service laundries"
コック,cock,"cook, chef, cooks, chefs, faucet, tap, valve, spigot, faucets, taps, valves, spigots"
コミカライズ,comicalize,"comicalize, adapt to comic, turn into comic, make into manga, manga adaptation, comic adaptation, comicalizes, comicalized, comicalizing"
コンビニ,convenience store,"convenience store, convenience stores, corner store, corner stores, mini-mart, mini-marts, bodega, bodegas, konbini"
コンクール,concours,"competition, contest, competitions, contests, competitive event, competitive events, tournament, tournaments"
コンセント,consent,"outlet, electrical outlet, power outlet, wall outlet, socket, power socket, electrical socket, plug socket, outlets, sockets, wall sockets, power sockets"
コップ,cup,"cup, cups, glass, glasses, tumbler, tumblers, drinking glass, drinking glasses"
コラーゲン,collagen,"collagen, collagens, collagen protein, collagen proteins, collagen supplement, collagen supplements"
コスプレ,cosplay,"cosplay, costume play, cosplaying, cosplayer, cosplayers, costume playing"
クラブ,club,"clubs, nightclub, nightclubs, golf club, golf clubs, social club, social clubs, organization, organizations"
クラクション,,"horn, car horn, vehicle horn, klaxon, hooter, horns, car horns, vehicle horns, klaxons, hooters"
クランケ,,"patient, patients, sick person, sick people, invalid, invalids"
クリスタル,crystal,"crystal, crystals, crystalline, quartz, gem, gems, gemstone, gemstones"
クール,cool,"cool, cooler, coolest, cooling, cools"
キャベツ,cabbage,"cabbage, cabbages"
キャンペーン,campaign,"campaign, campaigns, promotional campaign, marketing campaign, advertising campaign, sales campaign, promotional campaigns, marketing campaigns, advertising campaigns, sales campaigns, promotion, promotions"
キャンピングカー,camping car,"RV, recreational vehicle, motorhome, camper, camper van, RVs, recreational vehicles, motorhomes, campers, camper vans, camping cars"
キャッチボール,catch ball,"catch, playing catch, toss, throw and catch, ball toss, catch game, throwing ball, ball throwing, catch ball game, simple catch, ball catch, throwing and catching"
キャッチホン,catch phone,"call waiting, call hold, phone hold, call waiting service, call waiting feature, catch phone service"
キャッチコピー,catch copy,"catchphrase, slogan, tagline, advertising slogan, marketing slogan, catchphrases, slogans, taglines, advertising slogans, marketing slogans, copy, ad copy"
マグカップ,mug cup,"mug, mugs, coffee mug, coffee mugs, tea mug, tea mugs, cup, cups"
マイナスドライバー,minus driver,"flathead screwdriver, flat-head screwdriver, slotted screwdriver, flat screwdriver, flathead screwdrivers, flat-head screwdrivers, slotted screwdrivers, flat screwdrivers"
マイ,my,"my, mine, personal, own"
マジックインキ,magic ink,"magic marker, magic markers, felt-tip pen, felt-tip pens, marker pen, marker pens, markers, permanent marker, permanent markers, felt pen, felt pens, magic ink"
マジックテープ,magic tape,"Velcro, hook and loop fastener, hook and loop tape, touch fastener, hook and loop, fastening tape, adhesive fastener, stick-on fastener, rip tape, scratch tape, hook tape, loop tape"
ママ,mama,"mama, mom, mommy, mother, mum, mummy, mamas, moms, mothers"
マンダラ,mandala,"mandala, mandalas"
マニア,mania,"maniac, enthusiast, fan, fanatic, buff, maniacs, enthusiasts, fans, fanatics, buffs, obsessive, devotee"
マンション,mansion,"apartment building, condominium, condo, apartment complex, residential building, high-rise apartment, apartments, condos, condominiums, mansions"
満タン,,"full tank, full, topped off, filled up, tank full, full up, maxed out, at capacity"
マロン,marron,"chestnut, chestnuts, marron, marrons, sweet chestnut, sweet chestnuts"
マスコミ,,"mass communication, mass media, media, press, news media, mainstream media, journalism, news outlets, broadcasting, mass communications, the media, news industry"
マゾ,,"masochist, masochists, maso"
メール,mail,"email, e-mail, emails, e-mails, electronic mail, message, messages"
メールマガジン,mail magazine,"newsletter, email newsletter, e-newsletter, mailing list, email bulletin, newsletters, email newsletters, e-newsletters, mailing lists, email bulletins"
ミイラ or 木乃伊,,"mummy, mummies, mummified remains, preserved corpse, ancient mummy, Egyptian mummy"
ミルク,milk,"milk, dairy milk, cow's milk, whole milk, skim milk, low-fat milk, non-fat milk, fresh milk, pasteurized milk, organic milk, raw milk, powdered milk"
ミシン,,"sewing machine, sewing machines, machine, machines"
モバイル,mobile,"mobile, mobiles, mobile phone, mobile phones, cell phone, cell phones, smartphone, smartphones, cellular phone, cellular phones, portable, movable"
モボ,,"modern boy, modern boys, moga and mobo, fashionable young man, fashionable young men, trendy guy, trendy guys"
モガ,,"moga, modern girl, modern girls, flapper, flappers, fashionable girl, fashionable girls"
モーニングコール,morning call,"wake-up call, alarm call, wake up call, morning calls, wake-up calls, alarm calls, wakeup call, wakeup calls"
モーニングコート or モーニング,morning coat,"morning coat, morning coats, cutaway coat, cutaway coats, tailcoat, tailcoats, formal coat, formal coats, dress coat, dress coats, morning dress"
モーニングサービス or モーニング,morning service,"morning special, breakfast special, breakfast set, morning set, morning menu, breakfast combo, morning deal, breakfast deal, morning plate, breakfast plate, morning, breakfast service"
モーテル,motel,"motel, motels, motor hotel, motor hotels, roadside inn, roadside inns"
ムーディ,moody,"moody, Moody, moodier, moodiest, moodily, moodiness"
ムーンサルト,moonsault,"moonsault, moonsaults, moon sault, backflip, backflips, back flip, back flips, reverse somersault, reverse somersaults"
ナイター,nighter,"night game, night games, evening game, evening games, floodlit game, floodlit games, nighttime game, nighttime games"
ナンバーディスプレイ,number display,"caller ID, caller identification, phone number display, number display, caller ID display, telephone number display, incoming call display, call display"
ナンバープレート,number plate,"license plate, number plates, license plates, registration plate, registration plates, car plate, car plates, vehicle plate, vehicle plates, plate, plates"
ナトリウム,,"sodium, Na, sodium element, alkali metal, sodium metal"
ニート,NEET,"NEET, NEETs, not in education employment or training, shut-in, hikikomori, jobless youth, unemployed youth, inactive youth, young person not in education employment or training"
ノイローゼ,,"neurosis, nervous breakdown, mental breakdown, anxiety disorder, neuroses, nervous breakdowns, mental breakdowns, anxiety disorders"
ノークレームノーリターン,no claim no return,"no claims no returns, no refunds no returns, no complaints no returns, sold as is, final sale, all sales final, no warranty no return, buyer beware, as-is sale"
ノルマ,,"quota, target, norm, quotas, targets, norms, sales quota, production quota, work quota"
ノート,note,"notes, notebook, notebooks, notepad, notepads, memo, memos, jotter, jotters"
ニューハーフ,new half,"transgender woman, trans woman, transgender women, trans women, ladyboy, kathoey, crossdresser, crossdressers, drag queen, drag queens"
オーバー,over,"over, overcoat, overcoats, coat, coats, jacket, jackets, outerwear"
オードブル,hors d'oeuvre,"hors d'oeuvres, appetizer, appetizers, starter, starters, canapé, canapés, finger food, finger foods, small plate, small plates"
オフ,off,"off, turned off, switched off, power off, shut off, offline, disabled, inactive, disconnected"
オンリーワン,only one,"unique, one of a kind, singular, exclusive, sole, unmatched, incomparable, peerless, distinctive, special, individual, original"
オペ,,"operation, surgery, op, operations, surgeries, ops, surgical procedure, surgical procedures"
オープンカー,open car,"convertible, convertibles, cabriolet, cabriolets, roadster, roadsters, drop-top, drop-tops, soft-top, soft-tops, hard-top convertible, hard-top convertibles"
オーライ,all right,"all right, alright, okay, OK, fine, good, that's good, go ahead"
オランダ,,"Netherlands, Holland, Dutch, the Netherlands"
オルゴール,,"music box, music boxes, musical box, musical boxes, orgel"
オートバイ,autobike,"motorcycle, motorbike, bike, motorcycles, motorbikes, bikes, motor bike, motor bikes"
パイン,pine,"pineapple, pineapples, pine tree, pine trees, pine wood, pine lumber"
パーマ,perm,"perm, perms, permanent, permanent wave, permanent waves, hair perm, hair perms, chemical perm, chemical perms"
パン,pan,"bread, loaf, loaves, bun, buns, roll, rolls"
パネラー,paneler,"panelist, panel member, panelists, panel members, panellers, panelers"
パンク,punk,"punk, punks, punk rock, puncture, punctures, flat tire, flat tires, blowout, blowouts"
パンスト,,"pantyhose, stockings, tights, hosiery, nylons, panty hose"
パソコン; パーソナルコンピューター,personal computer,"PC, computer, personal computers, PCs, computers, desktop, laptop, desktops, laptops"
パンツ,pants,"pants, trousers, underwear, underpants, panties, briefs, boxers, undergarments"
パパ,papa,"papa, dad, daddy, father, pop, pops"
ペアルック,pair look,"matching outfits, couple outfits, coordinated outfits, matching clothes, couple clothing, twin outfits, his and hers outfits, coordinated looks, matching ensembles, couple fashion, coordinated clothing, matching attire"
ペンション,pension,"pension, pensions, guesthouse, guesthouses, bed and breakfast, B&B, inn, inns, lodge, lodges, boarding house, boarding houses"
ページ,page,"page, pages, webpage, web page, webpages, web pages"
ペーパーカンパニー,paper company,"shell company, front company, dummy company, paper corporation, shell corporation, front corporation, dummy corporation, paper companies, shell companies, front companies, dummy companies, paper corporations"
ペーパードライバー,paper driver,"paper driver, paper drivers, licensed non-driver, licensed non-drivers, license holder who doesn't drive, license holders who don't drive, non-driving license holder, non-driving license holders"
ペーパーテスト,paper test,"written test, written exam, paper exam, written examination, paper-and-pencil test, written tests, written exams, paper exams, written examinations, paper-and-pencil tests"
パトカー,patrol car,"police car, patrol car, squad car, cruiser, police cruiser, patrol cars, police cars, squad cars, cruisers, police cruisers, cop car, cop cars"
ピエロ,,"clown, clowns, jester, jesters, pierrot, pierrots"
ピーマン,,"bell pepper, bell peppers, green pepper, green peppers, sweet pepper, sweet peppers, capsicum, pepper, peppers"
ピッケル,,"ice axe, ice axes, mountaineering axe, climbing axe, alpine axe, pickaxe, pick axe, ice pick, mountaineering pick, climbing pick"
ピンチ,pinch,"pinch, pinches, crisis, tight spot, jam, bind, predicament, emergency, crunch, squeeze"
ピンセット,pincette,"tweezers, forceps, tweezer, pincers, surgical forceps, medical forceps, precision tweezers, fine-tip tweezers"
ポエマー,,"poet, poets, poetaster, poetasters, versifier, versifiers, rhymer, rhymers, bard, bards, lyricist, lyricists"
ポケベル,,"pager, beeper, pagers, beepers, pocket bell, pocket bells"
ポケモン,Pokemon,"Pokemon, Pokémon, Pocket Monsters, pocket monsters"
ポンプ,pump,"pump, pumps"
ポスト,post,"post, posts, mailbox, mailboxes, postbox, postboxes, mail box, mail boxes"
プラスアルファ,plus alpha,"plus alpha, something extra, added bonus, additional benefit, extra value, bonus feature, something more, added advantage, extra benefit, additional feature"
プラスドライバー,plus driver,"Phillips screwdriver, Phillips head screwdriver, cross-head screwdriver, Phillips screwdrivers, Phillips head screwdrivers, cross-head screwdrivers, screwdriver, screwdrivers"
プレイガイド,play guide,"ticket agency, ticket office, box office, ticket counter, ticket booth, ticket service, ticket agencies, ticket offices, box offices, ticket counters, ticket booths, ticket services"
プリクラ,,"purikura, photo booth, photo sticker booth, sticker photo booth, photo booths, sticker photo booths, photo sticker booths, Japanese photo booth, Japanese photo booths"
プロ,pro,"professional, professionals, pros, expert, experts, specialist, specialists"
プロフィール,profile,"profile, profiles, bio, biography, personal profile, user profile, account profile, biographical information"
プロフェッショナル,professional,"professional, professionals, pro, pros, expert, experts, specialist, specialists"
プロレス,pro wrestling,"professional wrestling, wrestling, pro-wrestling, sports entertainment, puroresu"
プッシュホン,push phone,"push-button phone, touch-tone phone, DTMF phone, push-button phones, touch-tone phones, DTMF phones, pushphone, pushphones"
ラブホテル,love hotel,"love hotel, love hotels, short-stay hotel, short-stay hotels, hourly hotel, hourly hotels, couples hotel, couples hotels, boutique hotel, adult hotel"
ライバル,rival,"rival, rivals, competitor, competitors, opponent, opponents, adversary, adversaries"
ライブアクション,live action,"live action, live-action, live actions, live-actions, real action, actual footage, non-animated, filmed with real actors"
ライブハウス,live house,"live house, live music venue, music venue, concert venue, live music club, music club, live houses, live music venues, music venues, concert venues, live music clubs, music clubs"
ライフライン,lifeline,"lifeline, lifelines, life line, life lines, utility, utilities, essential service, essential services, public utility, public utilities, infrastructure, vital service"
ラッコ,,"sea otter, sea otters, otter, otters"
ラムネ,ramune,"ramune, Japanese soda, Japanese soft drink, marble soda, Codd-neck bottle soda, Japanese lemonade, ramune soda, ramune drink"
ランドセル,,"school bag, school backpack, Japanese school bag, randoseru, school satchel, student backpack, school bags, school backpacks, Japanese school bags, school satchels, student backpacks"
ランニングホームラン,running home run,"inside-the-park home run, inside the park home run, running homer, inside-the-park homer, inside the park homer, running home runs, inside-the-park home runs, inside the park home runs"
ランニングシャツ,running shirt,"running shirt, running shirts, tank top, tank tops, singlet, singlets, athletic shirt, athletic shirts, running vest, running vests"
レントゲン,,"X-ray, X-rays, radiograph, radiographs, roentgen, roentgenogram, roentgenograms, medical imaging, radiology"
レストラン,restaurant,"restaurant, restaurants, eatery, eateries, dining establishment, dining establishments, bistro, bistros, cafe, cafes"
リベンジ,revenge,"revenge, vengeance, retaliation, payback, retribution, getting back, getting even"
